,text_recessie_gold,text_recessie,text_boukes_gold,text_boukes,text_LIWC_gold,text_LIWC,text_sentistrength_gold,text_sentistrength,text_pattern_gold,text_pattern,text_polyglot_gold,text_polyglot,text_DANEW_gold,text_DANEW,text_top4_gold,text_top4,text_top3_gold,text_top3,text_top2_gold,text_top2,text_top1_gold,text_top1
1371,-1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1372,1,0,1,0,1,0,1,0,1,-1,1,0,1,0,1,0,1,0,1,0,1,0
1373,1,0,1,1,1,1,1,1,1,0,1,0,1,-1,1,0,1,1,1,1,1,1
1374,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
1375,1,0,1,-1,1,-1,1,0,1,0,1,1,1,-1,1,0,1,0,1,0,1,-1
1376,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0
1377,1,0,1,0,1,-1,1,0,1,-1,1,0,1,-1,1,-1,1,0,1,0,1,-1
1378,-1,0,-1,1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1379,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1380,1,0,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1
1381,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0
1382,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
1383,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1384,1,0,1,0,1,1,1,1,1,-1,1,0,1,0,1,1,1,1,1,1,1,1
1385,-1,0,-1,0,-1,1,-1,0,-1,0,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
1386,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0
1387,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0
1388,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1
1389,1,0,1,-1,1,0,1,-1,1,-1,1,-1,1,1,1,0,1,-1,1,-1,1,0
1390,-1,0,-1,0,-1,-1,-1,0,-1,0,-1,1,-1,-1,-1,-1,-1,0,-1,0,-1,-1
1391,1,0,1,0,1,-1,1,-1,1,-1,1,0,1,0,1,0,1,-1,1,0,1,-1
1392,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
1393,1,0,1,0,1,-1,1,1,1,0,1,-1,1,-1,1,-1,1,0,1,-1,1,-1
1394,-1,0,-1,0,-1,1,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,0,-1,0,-1,1
1395,-1,0,-1,1,-1,0,-1,0,-1,-1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
1396,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,0
1397,-1,0,-1,-1,-1,-1,-1,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,-1
1398,-1,0,-1,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1399,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,0,-1,-1,-1,0,-1,0
1400,-1,0,-1,0,-1,0,-1,1,-1,-1,-1,0,-1,0,-1,1,-1,1,-1,0,-1,0
1401,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0,-1,0
1402,-1,0,-1,1,-1,1,-1,1,-1,0,-1,0,-1,1,-1,1,-1,1,-1,0,-1,1
1403,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
1404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1405,-1,0,-1,-1,-1,0,-1,-1,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,0
1406,-1,0,-1,1,-1,-1,-1,1,-1,-1,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,-1
1407,0,0,0,0,0,0,0,-1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1408,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1409,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0
1410,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
1411,-1,0,-1,0,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
1412,1,0,1,-1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
1413,0,0,0,0,0,0,0,1,0,1,0,0,0,-1,0,0,0,0,0,0,0,0
1414,1,0,1,0,1,0,1,1,1,-1,1,-1,1,1,1,0,1,0,1,-1,1,0
1415,1,0,1,1,1,0,1,1,1,-1,1,1,1,0,1,1,1,1,1,1,1,0
1416,0,0,0,0,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,-1,0,0,0,0
1417,-1,0,-1,0,-1,0,-1,1,-1,1,-1,0,-1,-1,-1,0,-1,0,-1,0,-1,0
1418,-1,0,-1,0,-1,0,-1,1,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,0
1419,1,0,1,1,1,1,1,1,1,-1,1,1,1,0,1,1,1,1,1,1,1,1
1420,1,0,1,1,1,-1,1,0,1,-1,1,-1,1,0,1,-1,1,-1,1,-1,1,-1
1421,-1,0,-1,0,-1,-1,-1,0,-1,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1
1422,1,0,1,1,1,0,1,0,1,0,1,1,1,-1,1,-1,1,0,1,1,1,0
1423,-1,0,-1,0,-1,0,-1,1,-1,1,-1,-1,-1,1,-1,0,-1,0,-1,-1,-1,0
1424,1,0,1,0,1,0,1,1,1,1,1,-1,1,1,1,0,1,0,1,0,1,0
1425,0,0,0,0,0,-1,0,-1,0,1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
