"","obs.agr.alpha","est.alpha","ci.boot.alpha","X","Y"
"97.5%22",0.405329593267882,0.0190457397099074,0.0415123736752591,"text_recessie","text_top4"
"2.5%23",0.465638148667602,0.272739772315555,0.223943623121563,"text_boukes","text_LIWC"
"97.5%23",0.465638148667602,0.272739772315555,0.3170241545277,"text_boukes","text_LIWC"
"2.5%24",0.394810659186536,0.138794358641873,0.0898949179300268,"text_boukes","text_sentistrength"
"97.5%24",0.394810659186536,0.138794358641873,0.185607131721566,"text_boukes","text_sentistrength"
"2.5%25",0.371669004207574,0.0336693514044754,-0.0159244577873715,"text_boukes","text_pattern"
"97.5%25",0.371669004207574,0.0336693514044754,0.0826535454387926,"text_boukes","text_pattern"
"2.5%26",0.414446002805049,0.199240868342248,0.150340617099409,"text_boukes","text_polyglot"
"97.5%26",0.414446002805049,0.199240868342248,0.245280311890696,"text_boukes","text_polyglot"
"2.5%27",0.370967741935484,0.0774955338744178,0.0265109422032329,"text_boukes","text_DANEW"
"97.5%27",0.370967741935484,0.0774955338744178,0.126972345032143,"text_boukes","text_DANEW"
"2.5%28",0.429873772791024,0.238045662251169,0.189997117452564,"text_boukes","text_top4"
"97.5%28",0.429873772791024,0.238045662251169,0.279477799368636,"text_boukes","text_top4"
"2.5%29",0.404628330995792,0.167538752242297,0.1188033619331,"text_LIWC","text_sentistrength"
"97.5%29",0.404628330995792,0.167538752242297,0.221277198095067,"text_LIWC","text_sentistrength"
"2.5%30",0.429873772791024,0.236921367989205,0.186080181308914,"text_LIWC","text_pattern"
"97.5%30",0.429873772791024,0.236921367989205,0.286194676288769,"text_LIWC","text_pattern"
"2.5%31",0.477559607293128,0.359945041364987,0.314473864341534,"text_LIWC","text_polyglot"
"97.5%31",0.477559607293128,0.359945041364987,0.405647507323187,"text_LIWC","text_polyglot"
"2.5%32",0.461430575035063,0.324645711182597,0.274803742574955,"text_LIWC","text_DANEW"
"97.5%32",0.461430575035063,0.324645711182597,0.36909408722932,"text_LIWC","text_DANEW"
